Index,G(i)
1645,749.24
1646,770.08
1647,752.77
1648,795.31
1649,687.76
1650,446.31
1651,224.19
1652,66.35
1653,0
1654,0
1655,0
1656,0
1657,0
1658,0
1659,0
1660,0
1661,0
1662,0
1663,0
1664,0
1665,106.64
1666,322.5
1667,538.71
1668,721.4
1669,852.7
1670,921.71
1671,922.11
1672,853.94
1673,722.85
1674,537.29
1675,320.53
1676,105.67
1677,0
1678,0
1679,0
1680,0
1681,0
1682,0
1683,0
1684,0
1685,0
1686,0
1687,0
1688,0
1689,101.13
1690,311.75
1691,523.47
1692,702.72
1693,834.66
1694,904.27
1695,901.57
1696,767.96
1697,651.05
1698,468.55
1699,248.09
1700,67.19
1701,0
1702,0
1703,0
1704,0
1705,0
1706,0
1707,0
1708,0
1709,0
1710,0
1711,0
1712,0
1713,69.59
1714,226.85
1715,281.96
1716,528.21
1717,603.51
1718,650.91
1719,562.82
1720,447.84
1721,477.08
1722,449.9
1723,245.7
1724,81.51
1725,0
1726,0
1727,0
1728,0
1729,0
1730,0
1731,0
1732,0
1733,0
1734,0
1735,0
1736,0
1737,83.86
1738,261.44
1739,412.23
1740,620.79
1741,752.24
1742,819.83
1743,870.97
1744,761.62
1745,638.82
1746,439.66
1747,232.6
1748,80.51
1749,0
1750,0
1751,0
1752,0
1753,0
1754,0
1755,0
1756,0
1757,0
1758,0
1759,0
1760,0
1761,101.14
1762,320.76
1763,535.06
1764,728.17
1765,865.99
1766,935.99
1767,933.3
1768,859.95
1769,722.32
1770,532.63
1771,310
1772,92.68
1773,0
1774,0
1775,0
1776,0
1777,0
1778,0
1779,0
1780,0
1781,0
1782,0
1783,0
1784,0
1785,93.13
1786,288.47
1787,483.17
1788,617.1
1789,770.35
1790,859.22
1791,889.8
1792,836.19
1793,703.19
1794,516.89
1795,298.6
1796,86.87
1797,0
1798,0
1799,0
1800,0
1801,0
1802,0
1803,0
1804,0
1805,0
1806,0
1807,0
1808,0
1809,92.61
1810,305.19
1811,521.48
1812,704.15
1813,834.35
1814,901.31
1815,899.07
1816,825.74
1817,694.93
1818,501.78
1819,288.32
1820,78.78
1821,0
1822,0
1823,0
1824,0
1825,0
1826,0
1827,0
1828,0
1829,0
1830,0
1831,0
1832,0
1833,82.92
1834,290.35
1835,489.55
1836,634.11
1837,797.88
1838,850.85
1839,826.88
1840,775.75
1841,647.41
1842,475.59
1843,264.83
1844,74.36
1845,0
1846,0
1847,0
1848,0
1849,0
1850,0
1851,0
1852,0
1853,0
1854,0
1855,0
1856,0
1857,82.45
1858,273.4
1859,492.49
1860,667.59
1861,792.56
1862,854.29
1863,817.36
1864,762.46
1865,626.12
1866,477.5
1867,269.05
1868,70.01
1869,0
1870,0
1871,0
1872,0
1873,0
1874,0
1875,0
1876,0
1877,0
1878,0
1879,0
1880,0
1881,71.31
1882,226.7
1883,465.14
1884,618.23
1885,773.68
1886,795.72
1887,833.57
1888,743.02
1889,643.69
1890,468.5
1891,263.29
1892,63.21
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,60.77
1906,181.86
1907,324.47
1908,480.16
1909,617.76
1910,708.53
1911,802.14
1912,780.39
1913,658.11
1914,476.1
1915,263.33
1916,63.35
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,73.74
1930,260.81
1931,429.83
1932,636.27
1933,778.26
1934,819.59
1935,844.33
1936,757.17
1937,641.69
1938,456.81
1939,242.6
1940,54.46
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,52.19
1954,179.89
1955,344.55
1956,405.41
1957,480.51
1958,638.59
1959,751.71
1960,727.07
1961,579.19
1962,357.6
1963,208.95
1964,52.7
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,61.46
1978,231.88
1979,462.36
1980,627.44
1981,747.81
1982,769.92
1983,609.54
1984,415.95
1985,254.82
1986,217.64
1987,53.45
1988,12.8
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,14.5
2002,80.95
2003,130.54
2004,299.32
2005,240.6
2006,524.55
2007,564.03
2008,447.71
2009,222.18
2010,230.29
2011,113.57
2012,31.26
2013,0
2014,0
2015,0
2016,0
2017,0
2018,0
2019,0
2020,0
2021,0
2022,0
2023,0
2024,0
2025,44.98
2026,136.44
2027,229.14
2028,326.41
2029,409.24
2030,531.71
2031,701.48
2032,674.13
2033,574.3
2034,450.18
2035,239.71
2036,49.55
2037,0
2038,0
2039,0
2040,0
2041,0
2042,0
2043,0
2044,0
2045,0
2046,0
2047,0
2048,0
2049,70.1
2050,274.22
2051,487.17
2052,667.53
2053,796.01
2054,859.74
2055,855.4
2056,782.26
2057,643.18
2058,453.62
2059,234.11
2060,43.84
2061,0
2062,0
2063,0
2064,0
2065,0
2066,0
2067,0
2068,0
2069,0
2070,0
2071,0
2072,0
2073,54.92
2074,217.63
2075,444.5
2076,604.84
2077,714.44
2078,781.92
2079,813.79
2080,733.13
2081,635.64
2082,452.56
2083,237.97
2084,45.37
2085,0
2086,0
2087,0
2088,0
2089,0
2090,0
2091,0
2092,0
2093,0
2094,0
2095,0
2096,0
2097,66.32
2098,259.76
2099,451.63
2100,615.9
2101,726.37
2102,781.99
2103,831.29
2104,765.71
2105,610.28
2106,400.25
2107,184.3
2108,32.08
2109,0
2110,0
2111,0
2112,0
2113,0
2114,0
2115,0
2116,0
2117,0
2118,0
2119,0
2120,0
2121,19.55
2122,61.58
2123,148.84
2124,316.61
2125,446.8
2126,562.4
2127,686.56
2128,642.99
2129,513.62
2130,247.72
2131,99.94
2132,22.59
2133,0
2134,0
2135,0
2136,0
2137,0
2138,0
2139,0
2140,0
2141,0
2142,0
2143,0
2144,0
2145,55.69
2146,236.9
2147,369.24
2148,624.87
2149,728.58
2150,788.57
2151,803.97
2152,740.23
2153,616.74
2154,428.1
2155,217.07
2156,35.81
2157,0
2158,0
2159,0
2160,0
2161,0
2162,0
2163,0
2164,0
2165,0
2166,0
2167,0
2168,0
2169,58.7
2170,252.96
2171,459.71
2172,635.52
2173,762.84
2174,823.78
2175,812.66
2176,740.67
2177,605.65
2178,420.79
2179,210.41
2180,33.1
2181,0
2182,0
2183,0
2184,0
2185,0
2186,0
2187,0
2188,0
2189,0
2190,0
2191,0
2192,0
2193,24.1
2194,103.7
2195,238.38
2196,314.24
2197,466.08
2198,578.16
2199,588.84
2200,598.93
2201,440.08
2202,201.29
2203,81.57
2204,20.78
2205,0
2206,0
2207,0
2208,0
2209,0
2210,0
2211,0
2212,0
2213,0
2214,0
2215,0
2216,0
2217,51.92
2218,231.84
2219,424.93
2220,602.53
2221,736.53
2222,796.16
2223,751.47
2224,636.48
2225,534.05
2226,331.94
2227,133.35
2228,17.11
2229,0
2230,0
2231,0
2232,0
2233,0
2234,0
2235,0
2236,0
2237,0
2238,0
2239,0
2240,0
2241,51.74
2242,237.89
2243,442.13
2244,607.64
2245,729.74
2246,787.77
2247,717.38
2248,615.69
2249,486.39
2250,265.93
2251,84.93
2252,5.15
2253,0
2254,0
2255,0
2256,0
2257,0
2258,0
2259,0
2260,0
2261,0
2262,0
2263,0
2264,0
2265,45.7
2266,189.97
2267,313.5
2268,421.65
2269,600.37
2270,598.17
2271,494.7
2272,317.82
2273,369.41
2274,245.17
2275,106.62
2276,11.25
2277,0
2278,0
2279,0
2280,0
2281,0
2282,0
2283,0
2284,0
2285,0
2286,0
2287,0
2288,0
2289,42.66
2290,218.14
2291,390.6
2292,534.44
2293,628.06
2294,510.78
2295,513.43
2296,392.21
2297,275.66
2298,170.28
2299,67.05
2300,10.05
2301,0
2302,0
2303,0
2304,0
2305,0
2306,0
2307,0
2308,0
2309,0
2310,0
2311,0
2312,0
2313,32.25
2314,153.13
2315,202.51
2316,326.96
2317,456.49
2318,531.91
2319,483.63
2320,461.22
2321,403.05
2322,255.65
2323,87.57
2324,9.6
2325,0
2326,0
2327,0
2328,0
2329,0
2330,0
2331,0
2332,0
2333,0
2334,0
2335,0
2336,0
2337,27.03
2338,138.55
2339,232.5
2340,364.19
2341,469.57
2342,443.46
2343,559.09
2344,500.15
2345,431.53
2346,277.34
2347,131.86
2348,10.65
2349,0
2350,0
2351,0
2352,0
2353,0
2354,0
2355,0
2356,0
2357,0
2358,0
2359,0
2360,0
2361,14.83
2362,71.27
2363,208.43
2364,358.42
2365,531.05
2366,598.81
2367,640.96
2368,562.96
2369,515.09
2370,356.34
2371,165.11
2372,8.75
2373,0
2374,0
2375,0
2376,0
2377,0
2378,0
2379,0
2380,0
2381,0
2382,0
2383,0
2384,0
2385,42.93
2386,223.91
2387,425.02
2388,595.67
2389,715.8
2390,773.93
2391,764.76
2392,689.43
2393,554.69
2394,372.15
2395,167.62
2396,8.3
2397,0
2398,0
2399,0
2400,0
2401,0
2402,0
2403,0
2404,0
2405,0
2406,0
2407,0
2408,0
2409,40.02
2410,220.57
2411,427.38
2412,599.07
2413,707.3
2414,766.32
2415,738.26
2416,671
2417,419.65
2418,215.14
2419,107.8
2420,8.3
2421,0
2422,0
2423,0
2424,0
2425,0
2426,0
2427,0
2428,0
2429,0
2430,0
2431,0
2432,0
2433,19.45
2434,113.5
2435,238.5
2436,313.75
2437,436.88
2438,515.59
2439,538.86
2440,571.9
2441,466.7
2442,325.13
2443,141.6
2444,0
2445,0
2446,0
2447,0
2448,0
2449,0
2450,0
2451,0
2452,0
2453,0
2454,0
2455,0
