PV_gen_share	OcM	REM	Storage_hrs	BackupShare	Storage_LCOH	GreenHydrogen_LCOH	Transport_LCHS	Electricity_LCOH	Total_LCOH		
0.55	0.5	2	12	0.461662242	0.233029564	5.588467944	0.054249853	3.514678658	9.390426019		
0.25	0.5	2	8	0.423359358	0.15535106	5.217618856	0.054249161	3.96385228	9.391071356		
0.2	0.5	2	4	0.421240091	0.077674964	5.198474627	0.054248766	4.062654574	9.393052931		
0.3	0.5	2	11	0.427314514	0.21360974	5.253690354	0.054249677	3.876721612	9.398271382		
0.6	0.5	2	7	0.475009704	0.135933912	5.730368249	0.054249853	3.479055001	9.399607016		
0.35	0.5	2	14	0.431250712	0.271867825	5.290030494	0.054249853	3.788208144	9.404356315		
0.4	0.5	2	15	0.437296116	0.291286955	5.34678696	0.054249853	3.712301678	9.404625447		
0.45	0.5	2	16	0.44340299	0.310706085	5.405372293	0.054249853	3.635147908	9.40547614		
0.5	0.5	2	15	0.45188814	0.291286955	5.488940332	0.054249853	3.571713158	9.406190299		
0.5	0.5	2.5	8	0.325682249	0.155220173	5.569855481	0.058405119	3.624434307	9.407915081		
0.5	0.5	2.5	9	0.324392037	0.174602835	5.5583116	0.058398477	3.616912766	9.408225677		
0.5	0.5	2.5	7	0.327059403	0.135833102	5.582166854	0.058411764	3.632455916	9.408867636		
0.15	0.5	2	1	0.418865699	0.019418609	5.177204027	0.054248396	4.15891023	9.409781261		
0.55	0.5	2	13	0.461662242	0.252448694	5.588467944	0.054249853	3.514678658	9.409845149		
0.25	0.5	2	9	0.423359358	0.174769942	5.217618856	0.054249161	3.96385228	9.410490239		
0.5	0.5	2.5	10	0.323315576	0.193981087	5.548562604	0.058391836	3.610560701	9.411496228		
0.2	0.5	2	5	0.421240091	0.097093705	5.198474627	0.054248766	4.062654574	9.412471672		
0.5	0.5	2.5	6	0.328649612	0.116441619	5.596304361	0.058418409	3.641667363	9.412831753		
0.3	0.5	2	12	0.427314514	0.233028807	5.253690354	0.054249677	3.876721612	9.417690449		
0.5	0.5	2.5	11	0.322551605	0.213354933	5.54139492	0.058385196	3.605890518	9.419025568		
0.6	0.5	2	8	0.475009704	0.155353043	5.730368249	0.054249853	3.479055001	9.419026147		
0.5	0.5	2.5	5	0.330587628	0.097045724	5.613422845	0.058425056	3.652821099	9.421714725		
0.45	0.5	2.5	9	0.316601124	0.174598005	5.494894782	0.058396861	3.695432227	9.423321874		
0.45	0.5	2.5	10	0.315271	0.193975722	5.483340914	0.058390221	3.687651868	9.423358725		
0.35	0.5	2	15	0.431250712	0.291286955	5.290030494	0.054249853	3.788208144	9.423775446		
0.45	0.5	2.5	8	0.317967244	0.155215879	5.506787373	0.058403504	3.703440681	9.423847436		
0.4	0.5	2	16	0.437296116	0.310706085	5.34678696	0.054249853	3.712301678	9.424044577		
0.45	0.5	2	17	0.44340299	0.330125216	5.405372293	0.054249853	3.635147908	9.42489527		
0.45	0.5	2.5	7	0.319412019	0.135829344	5.519367867	0.058410147	3.711912368	9.425519727		
0.5	0.5	2	16	0.45188814	0.310706085	5.488940332	0.054249853	3.571713158	9.425609429		
0.45	0.5	2.5	11	0.314212696	0.213349033	5.473997727	0.058383581	3.681360179	9.427090521		
0.15	0.5	2	2	0.418865699	0.038837217	5.177204027	0.054248396	4.15891023	9.42919987		
0.55	0.5	2	14	0.461662242	0.271867825	5.588467944	0.054249853	3.514678658	9.42926428		
0.25	0.5	2	10	0.423359358	0.194188825	5.217618856	0.054249161	3.96385228	9.429909121		
0.45	0.5	2.5	6	0.321061002	0.116438397	5.533666179	0.058416793	3.721540831	9.4300622		
0.55	0.5	2.5	8	0.33624131	0.155224775	5.658485015	0.058406851	3.558770034	9.430886675		
0.55	0.5	2.5	7	0.337546028	0.135837129	5.670573612	0.058413495	3.566382505	9.431206742		
0.5	0.5	2.5	12	0.322152456	0.232724374	5.537214722	0.058378558	3.603166864	9.431484519		
0.2	0.5	2	6	0.421240091	0.116512447	5.198474627	0.054248766	4.062654574	9.431890413		
0.55	0.5	2.5	6	0.339024052	0.116445072	5.684200797	0.058420141	3.57496386	9.434029869		
0.45	0.5	2.5	12	0.313497424	0.232717939	5.467408075	0.058376944	3.676922717	9.435425674		
0.55	0.5	2.5	9	0.335303948	0.17460801	5.64956017	0.058400208	3.553149852	9.435718239		
0.3	0.5	2	13	0.427314514	0.252447874	5.253690354	0.054249677	3.876721612	9.437109516		
0.6	0.5	2	9	0.475009704	0.174772173	5.730368249	0.054249853	3.479055001	9.438445277		
0.55	0.5	2.5	5	0.340776896	0.097048602	5.700264359	0.058426789	3.585079458	9.440819207		
0.55	0.5	2.5	10	0.334455217	0.193986836	5.641412493	0.058393566	3.548019071	9.441811966		
0.45	0.5	2.5	5	0.323239511	0.097043038	5.552370818	0.058423439	3.734136509	9.441973804		
0.4	0.5	2.5	10	0.307762179	0.193970481	5.423823751	0.058388643	3.765860449	9.442043324		
0.4	0.5	2.5	9	0.309112183	0.174593287	5.435283542	0.058395283	3.773827712	9.442099824		
0.5	0.5	2.5	4	0.33336405	0.077645414	5.637714743	0.058431705	3.66864875	9.442440612		
0.4	0.5	2.5	8	0.310514585	0.155211684	5.447204758	0.058401925	3.782115774	9.442934142		
0.35	0.5	2	16	0.431250712	0.310706085	5.290030494	0.054249853	3.788208144	9.443194576		
0.4	0.5	2	17	0.437296116	0.330125216	5.34678696	0.054249853	3.712301678	9.443463707		
0.4	0.5	2.5	11	0.30653958	0.213343269	5.413403538	0.058382004	3.758615939	9.44374475		
0.45	0.5	2	18	0.44340299	0.349544346	5.405372293	0.054249853	3.635147908	9.4443144		
0.5	0.5	2	17	0.45188814	0.330125216	5.488940332	0.054249853	3.571713158	9.445028559		
0.5	0.5	2.5	13	0.32192477	0.252089411	5.53443521	0.058371922	3.601355843	9.446252386		
0.4	0.5	2.5	7	0.312120859	0.135825672	5.460792449	0.058408569	3.791562429	9.446589119		
0.45	0.5	2.5	13	0.313125271	0.252082441	5.463552843	0.058370308	3.674326609	9.4483322		
0.15	0.5	2	3	0.418865699	0.058255826	5.177204027	0.054248396	4.15891023	9.448618478		
0.55	0.5	2	15	0.461662242	0.291286955	5.588467944	0.054249853	3.514678658	9.44868341		
0.4	0.5	2.5	12	0.305561204	0.232711652	5.404917242	0.058375367	3.752715958	9.448720219		
0.25	0.5	2	11	0.423359358	0.213607707	5.217618856	0.054249161	3.96385228	9.449328004		
0.2	0.5	2	7	0.421240091	0.135931188	5.198474627	0.054248766	4.062654574	9.451309154		
0.55	0.5	2.5	11	0.33389476	0.213361256	5.635718909	0.058386926	3.544433689	9.45190078		
0.4	0.5	2.5	6	0.314016037	0.11643525	5.476748451	0.058415213	3.802655621	9.454254535		
0.4	0.5	2.5	13	0.304769024	0.252075632	5.397897848	0.058368731	3.747835821	9.456178032		
0.55	0.5	2.5	4	0.343125328	0.077647717	5.72159274	0.058433438	3.598510435	9.45618433		
0.3	0.5	2	14	0.427314514	0.271866941	5.253690354	0.054249677	3.876721612	9.456528584		
0.6	0.5	2	10	0.475009704	0.194191303	5.730368249	0.054249853	3.479055001	9.457864407		
